0,CombatZoneResize,250,251,400,391,TLResume
0,HeartTeleport,325,326,,,,,
0,HeartMode,0,,,,,,
0.2,gasterblaster,1,380,0,380,150,90,0.3,0.3
0,gasterblaster,1,260,0,260,150,90,0.3,0.3
0.3,gasterblaster,1,320,0,320,150,90,0.45,0.3
0,gasterblaster,1,0,340,200,340,0,0.45,0.3
0.3,sanshead,blueeye
0,sansbody,handdown
0,sansslam,1
0.3,SansAnimation,Idle
0.6,bonestab,1,25,0.4,5
0,sanshead,default
0.1,bonestab,0,25,0.15,5
0.1,bonestab,2,25,0.15,5
0.1,bonestab,3,25,0.15,5
0.2,heartmode,0
0,Sound,Ding,,,,,,,
0,SET,Loop,15,,,,,,
0,Set,Timer,0.1
0,RND,Ang,360,,,,,,
0,SUB,Loop,$Loop,1,,,,,
0,Add,Timer,$Timer,0.02
0,COS,X,$Ang,,,,,,
0,SIN,Y,$Ang,,,,,,
0,MUL,EndX,$X,200,,,,,
0,MUL,EndY,$Y,200,,,,,
0,MUL,X,$X,400,,,,,
0,MUL,Y,$Y,300,,,,,
0,GetHeartPos,HeartX,HeartY,,,,,,
0,ADD,EndX,$EndX,$HeartX,,,,,
0,ADD,EndY,$EndY,$HeartY,,,,,
0,ADD,X,$X,$HeartX,,,,,
0,ADD,Y,$Y,$HeartY,,,,,
0,JMPRELNL,2,$EndX,50,,,,,
0,SET,EndX,50,,,,,,
0,JMPRELNG,2,$EndX,590,,,,,
0,SET,EndX,590,,,,,,
0,JMPRELNL,2,$EndY,40,,,,,
0,SET,EndY,40,,,,,,
0,JMPRELNG,2,$EndY,440,,,,,
0,SET,EndY,440,,,,,,
0,ANGLE,Ang,$EndX,$EndY,$HeartX,$HeartY,,,
0,GasterBlaster,0,$X,$Y,$EndX,$EndY,$Ang,$Timer,0.03333
$Timer,JMPRELNZ,-24,$Loop,,,,,,
2.5,endattack
